location_name,year,val,upper,lower
High SDI,1995,15.72743433681,18.87384087802,12.98776210452
High SDI,1996,15.72203468265,18.8682263329,12.975026849610002
High SDI,1997,15.70728028349,18.85954199685,12.95477092935
High SDI,1998,15.69185248643,18.85149519142,12.93736812373
High SDI,1999,15.68102967535,18.84110667195,12.92746319118
High SDI,2000,15.68345074997,18.84559267755,12.930506320730002
High SDI,2001,15.70566964267,18.86625984396,12.95944724467
High SDI,2002,15.739270648940002,18.89633196883,13.00058255685
High SDI,2003,15.7799081997,18.93140368434,13.04991554805
High SDI,2004,15.820650484480002,18.96496362777,13.10057097726
High SDI,2005,15.85390122502,18.99127531801,13.144306975969998
High SDI,2006,15.90701328088,19.04628166556,13.19087806313
High SDI,2007,15.9901475023,19.13765425558,13.26205794041
High SDI,2008,16.076979645,19.2346536266,13.3356617789
High SDI,2009,16.14843121558,19.31262793311,13.39766925092
High SDI,2010,16.18224273578,19.3432903033,13.43010854548
High SDI,2011,16.17056120218,19.33522592246,13.4057354838
High SDI,2012,16.13006314518,19.29175782566,13.35900456673
High SDI,2013,16.07361557051,19.23249079293,13.30132356055
High SDI,2014,16.01512083172,19.17853424948,13.24379253666
High SDI,2015,15.96770278845,19.13795715255,13.19576016161
High SDI,2016,15.89838910633,19.05122275167,13.1442908543
High SDI,2017,15.79198686275,18.91769690839,13.06288177158
High SDI,2018,15.689316249629998,18.78611665365,12.98456685616
High SDI,2019,15.63014547476,18.70730268095,12.93977818152
High SDI,2020,15.66568695968,18.73339010025,12.91898778596
High SDI,2021,15.688893052809998,18.76103429351,12.945366169720002
Middle SDI,1990,16.26068946005,19.42545107241,13.65085102414
Middle SDI,1991,16.23098098991,19.37858183091,13.61644457064
Middle SDI,1992,16.197915819669998,19.33440152899,13.56867480608
Middle SDI,1993,16.1645855613,19.30359587598,13.51772107442
Middle SDI,1994,16.13310936801,19.2757513377,13.46864835566
Middle SDI,1995,16.10484525478,19.25277193314,13.42317313842
Middle SDI,1996,16.07748058229,19.22299163779,13.40407734905
Middle SDI,1997,16.04929123963,19.17697294832,13.38359478431
Middle SDI,1998,16.022802401539998,19.13274803521,13.359233425270002
Middle SDI,1999,15.99943316675,19.09243829951,13.32976692382
Middle SDI,2000,15.98123591524,19.05880599786,13.30602542995
Middle SDI,2001,15.96372414363,19.05034385271,13.29991526894
Middle SDI,2002,15.94306305173,19.03614666221,13.29280623378
Middle SDI,2003,15.92213769726,19.01994684702,13.27999281313
Middle SDI,2004,15.90268507111,19.0037678,13.25685775792
Middle SDI,2005,15.887497257360002,18.99237808911,13.24828093569
Middle SDI,2006,15.87345410157,18.97200122247,13.24400468182
Middle SDI,2007,15.85601710072,18.94981666935,13.2310057571
Middle SDI,2008,15.836215447130002,18.92622842322,13.21471862669
Middle SDI,2009,15.81453890824,18.90093976364,13.19724740005
Middle SDI,2010,15.79086281182,18.8732676342,13.17988712944
Middle SDI,2011,15.76920274843,18.86115738731,13.14346852089
Middle SDI,2012,15.75449367556,18.86385435247,13.10912779135
Middle SDI,2013,15.74535066603,18.87435728072,13.07795986177
Middle SDI,2014,15.73818934252,18.88669311221,13.0502844634
Middle SDI,2015,15.72927594043,18.8927774684,13.022672083380002
Middle SDI,2016,15.72375137062,18.90515594717,13.01353874022
Middle SDI,2017,15.72591636906,18.92340637842,13.01206863418
Middle SDI,2018,15.73043506147,18.94116844142,13.014321543590002
Middle SDI,2019,15.73221396677,18.95448977752,13.01523524492
Middle SDI,2020,15.71553052637,18.95352964525,12.97980484862
Middle SDI,2021,15.73729625794,18.9593675294,13.01101808225
